380,スピード+01
381,スピード+02
382,スピード+03
383,スピード+03
384,スピード+04
385,スピード+04
386,スピード+05
387,スピード+05
388,スピード+06
389,スピード+06
390,スピード+06
391,スピード+06
392,スピード+07
393,スピード+07
394,スピード+07
395,スピード+08
396,スピード+08
397,スピード+09
398,スピード+09
399,スピード+09
400,スピード+10
401,スピード+10
402,スピード+10
403,スピード+10
404,スピード+10
405,スピード+10
406,スピード+10
407,スピード+12
408,スピード+13
409,スピード+13
410,スピード+15
411,スピード+16
412,スピード+16
413,スピード+17
414,スピード+18
415,キック+01
416,キック+01
417,キック+02
418,キック+02
419,キック+02
420,キック+03
421,キック+03
422,キック+03
423,キック+04
424,キック+04
425,キック+05
426,キック+05
427,キック+06
428,キック+06
429,キック+07
430,キック+07
431,キック+07
432,キック+07
433,キック+08
434,キック+08
435,キック+09
436,キック+09
437,キック+09
438,キック+10
439,キック+10
440,キック+10
441,キック+10
442,キック+10
443,キック+10
444,キック+11
445,キック+11
446,キック+12
447,キック+13
448,キック+14
449,キック+14
450,キック+16
451,キック+17
452,キック+17
453,キック+18
454,キック+18
455,ガード+00
456,ガード+01
457,ガード+01
458,ガード+02
459,ガード+02
460,ガード+02
461,ガード+02
462,ガード+02
463,ガード+02
464,ガード+03
465,ガード+03
466,ガード+03
467,ガード+03
468,ガード+03
469,ガード+04
470,ガード+04
471,ガード+04
472,ガード+05
473,ガード+05
474,ガード+05
475,ガード+05
476,ガード+05
477,ガード+06
478,ガード+06
479,ガード+06
480,ガード+06
481,ガード+07
482,ガード+07
483,ガード+07
484,ガード+07
485,ガード+07
486,ガード+07
487,ガード+08
488,ガード+08
489,ガード+08
490,ガード+08
491,ガード+09
492,ガード+09
493,ガード+09
494,ガード+10
495,ガード+10
496,ガード+10
497,ガード+11
498,ガード+12
499,ガード+12
500,ガード+12
501,ガード+13
502,ガード+13
503,ガード+14
504,ガード+14
505,ガード+14
506,ガード+15
507,ガード+15
508,ガード+15
509,ガード+15
510,ガード+15
511,ガード+15
512,ガード+16
513,ガード+16
514,ガード+17
515,ガード+17
516,ガード+17
517,ガード+17
518,ガード+18
519,ガード+18
520,ガッツ+01
521,ガッツ+02
522,ガッツ+03
523,ガッツ+04
524,ガッツ+05
525,ガッツ+06
526,ガッツ+07
527,ガッツ+08
528,ガッツ+09
529,ガッツ+10
530,ガッツ+12
531,ガッツ+20
532,ガッツ+02
533,ガッツ+02
534,ガッツ+02
535,コントロール+02
536,コントロール+03
537,コントロール+04
538,コントロール+05
539,コントロール+06
540,コントロール+08
541,コントロール+09
542,ボディ+06
542,TP+10
543,ボディ+12
544,ボディ+12
545,スタミナ+12
546,スタミナ+12
547,ボディ+03
548,ボディ+07
549,ボディ+15
550,スタミナ+03
551,スタミナ+07
552,スタミナ+15
